seed,task,rows,geometry_family,topology_family,actual_attachment_f1,oracle_attachment_f1,actual_safe_recall,oracle_safe_recall,actual_attachment_pairs,oracle_attachment_pairs,pair_expansion
1,S08_3d_loop_rich_C07__rounded_rectangle.zarr,3458,rounded_rectangle.zarr,S08_3d_loop_rich,0.015965596845696543,0.23492680107872094,0.0,0.0,6847216,318160,21.521297460397285
1,S09_flat_complex_C07__c1_mixed.zarr,3580,c1_mixed.zarr,S09_flat_complex,0.016653679575231502,0.21584697727028582,0.0,0.0,7089856,491120,14.436097084215671
1,S09_flat_complex_C07__ellipse.zarr,3580,ellipse.zarr,S09_flat_complex,0.22786213011193615,0.4349293122163661,0.0,0.0,7089992,509180,13.924333241682705
1,S09_flat_complex_C07__rounded_rectangle.zarr,3580,rounded_rectangle.zarr,S09_flat_complex,0.019583846094328443,0.2118802263457566,0.0,0.0,7091096,466976,15.185140135681491
1,S10_3d_complex_C07__c1_mixed.zarr,4122,c1_mixed.zarr,S10_3d_complex,0.0159926697921234,0.2201219942750683,0.0,0.0,8164712,515156,15.849008843923006
1,S10_3d_complex_C07__ellipse.zarr,4122,ellipse.zarr,S10_3d_complex,0.23193005284120663,0.44595777267257414,0.0,0.0,8165336,531700,15.357035922512695
1,S10_3d_complex_C07__rounded_rectangle.zarr,4122,rounded_rectangle.zarr,S10_3d_complex,0.01847108760025594,0.21345357333071344,0.0,0.0,8163336,500676,16.304628142751
2,S01_flat_tree_small_C07__c1_mixed.zarr,1004,c1_mixed.zarr,S01_flat_tree_small,0.09442379182156134,0.24203318928944928,0.0,0.0,1989704,149728,13.2887903398162
2,S01_flat_tree_small_C07__ellipse.zarr,1004,ellipse.zarr,S01_flat_tree_small,0.07855504587155963,0.2747832919971515,0.0,0.0,1989456,157244,12.652031238075857
2,S01_flat_tree_small_C07__rounded_rectangle.zarr,1004,rounded_rectangle.zarr,S01_flat_tree_small,0.0175845614405104,0.21622123236822569,0.0,0.0,1989580,147048,13.530139818290627
2,S02_3d_tree_small_C07__c1_mixed.zarr,922,c1_mixed.zarr,S02_3d_tree_small,0.09149878704777976,0.2342806691006276,0.0,0.0,1826768,156724,11.655955692810291
2,S02_3d_tree_small_C07__ellipse.zarr,922,ellipse.zarr,S02_3d_tree_small,0.07385706576208464,0.25069637883008355,0.0,0.0,1827016,163800,11.153943833943835
2,S02_3d_tree_small_C07__rounded_rectangle.zarr,922,rounded_rectangle.zarr,S02_3d_tree_small,0.01920315149097437,0.2053727037801238,0.0,0.0,1827016,152412,11.987350077421725
2,S03_flat_unicyclic_small_C07__c1_mixed.zarr,906,c1_mixed.zarr,S03_flat_unicyclic_small,0.08930782643855349,0.2032993525278964,0.0,0.0,1796016,212956,8.433742181483499
2,S03_flat_unicyclic_small_C07__ellipse.zarr,906,ellipse.zarr,S03_flat_unicyclic_small,0.07692307692307693,0.21127385707944962,0.0,0.0,1796264,227824,7.884437109347567
2,S03_flat_unicyclic_small_C07__rounded_rectangle.zarr,906,rounded_rectangle.zarr,S03_flat_unicyclic_small,0.022584146498731892,0.16900172803402896,0.0,0.0,1796140,200560,8.955624252094136
2,S04_3d_unicyclic_small_C07__c1_mixed.zarr,1134,c1_mixed.zarr,S04_3d_unicyclic_small,0.09910366987992558,0.2459314222332715,0.0,0.0,2248616,182608,12.313896433891177
2,S04_3d_unicyclic_small_C07__ellipse.zarr,1134,ellipse.zarr,S04_3d_unicyclic_small,0.06344020148390171,0.2773341730583234,0.0,0.0,2248616,194632,11.553167002342883
2,S04_3d_unicyclic_small_C07__rounded_rectangle.zarr,1134,rounded_rectangle.zarr,S04_3d_unicyclic_small,0.01895274277560984,0.21800676642372624,0.0,0.0,2248368,174356,12.895271742870907
2,S05_flat_branch_medium_C07__c1_mixed.zarr,2068,c1_mixed.zarr,S05_flat_branch_medium,0.0758512363194163,0.25789721157545276,0.0,0.0,4101052,258488,15.86554114697781
2,S05_flat_branch_medium_C07__ellipse.zarr,2068,ellipse.zarr,S05_flat_branch_medium,0.1011284551566862,0.27753954916845336,0.0,0.0,4101176,273452,14.997791202843644
2,S05_flat_branch_medium_C07__rounded_rectangle.zarr,2068,rounded_rectangle.zarr,S05_flat_branch_medium,0.014185065901329223,0.2230568720379147,0.0,0.0,4100928,248528,16.500869117363035
2,S06_3d_branch_medium_C07__c1_mixed.zarr,1676,c1_mixed.zarr,S06_3d_branch_medium,0.09489741017028021,0.2409419275354203,0.0,0.0,3323572,273412,12.155911225549719
2,S06_3d_branch_medium_C07__ellipse.zarr,1676,ellipse.zarr,S06_3d_branch_medium,0.06905590825312308,0.259867344814253,0.0,0.00012966804979253112,3323324,280220,11.859695953179644
2,S06_3d_branch_medium_C07__rounded_rectangle.zarr,1676,rounded_rectangle.zarr,S06_3d_branch_medium,0.01986870329564137,0.21189947208577078,0.0,0.0,3323328,267456,12.425699928212492
2,S07_flat_loop_rich_C07__c1_mixed.zarr,2678,c1_mixed.zarr,S07_flat_loop_rich,0.07900677200902935,0.23047517872536813,0.0,4.109476452699926e-05,5310300,461520,11.506110244409776
2,S07_flat_loop_rich_C07__ellipse.zarr,2678,ellipse.zarr,S07_flat_loop_rich,0.07827224432045703,0.23425177153357044,0.00012020675561966583,0.00012020675561966583,5309432,485940,10.926106103634194
2,S07_flat_loop_rich_C07__rounded_rectangle.zarr,2678,rounded_rectangle.zarr,S07_flat_loop_rich,0.018995920299689075,0.19717138103161397,0.0,0.0,5308688,444388,11.946065150274086
2,S08_3d_loop_rich_C07__c1_mixed.zarr,3458,c1_mixed.zarr,S08_3d_loop_rich,0.06230585964594831,0.29045643153526973,0.0,0.0,6856828,327428,20.941483318470016
2,S08_3d_loop_rich_C07__ellipse.zarr,3458,ellipse.zarr,S08_3d_loop_rich,0.08278727034445241,0.30616327847692804,0.0,0.0,6857200,342924,19.996267394524736
2,S08_3d_loop_rich_C07__rounded_rectangle.zarr,3458,rounded_rectangle.zarr,S08_3d_loop_rich,0.01244480977416371,0.252823115256252,0.0,0.0,6856704,318160,21.551118933869752
2,S09_flat_complex_C07__c1_mixed.zarr,3580,c1_mixed.zarr,S09_flat_complex,0.07557665424044735,0.2567907565583885,0.0,3.462244226707752e-05,7098132,491120,14.452948362925557
2,S09_flat_complex_C07__ellipse.zarr,3580,ellipse.zarr,S09_flat_complex,0.08501962825601318,0.2727800348229832,0.0,0.0,7099000,509180,13.942024431438783
2,S09_flat_complex_C07__rounded_rectangle.zarr,3580,rounded_rectangle.zarr,S09_flat_complex,0.015973863644783586,0.21962274632594314,0.0,0.0,7099000,466976,15.202066059069416
2,S10_3d_complex_C07__c1_mixed.zarr,4122,c1_mixed.zarr,S10_3d_complex,0.0744449386337136,0.26117704722893254,0.0,0.0,8175072,515156,15.86911925707941
2,S10_3d_complex_C07__ellipse.zarr,4122,ellipse.zarr,S10_3d_complex,0.06835348837209303,0.27617632192406055,0.0,9.304633707586378e-05,8173336,531700,15.372082001128456
2,S10_3d_complex_C07__rounded_rectangle.zarr,4122,rounded_rectangle.zarr,S10_3d_complex,0.015490639274389584,0.2313808007279345,0.0,0.0,8174328,500676,16.326582460513386
