association_identity_teacher_only,partition,event,observations,distinct_traversals,full_visibility_rows,star_variants,canonical_exit_count
440,fit,geometry_transition,2,1,2,1,2
441,fit,geometry_transition,8,2,8,1,2
442,fit,geometry_transition,9,2,9,1,2
443,fit,geometry_transition,3,2,3,1,2
444,fit,geometry_transition,7,2,7,1,2
445,fit,geometry_transition,1,1,1,1,2
446,fit,geometry_transition,1,1,1,1,2
447,fit,geometry_transition,4,2,4,1,2
448,fit,geometry_transition,3,2,3,1,2
449,fit,geometry_transition,5,2,5,1,2
450,fit,geometry_transition,8,2,8,1,2
451,fit,geometry_transition,13,2,13,1,2
452,fit,terminal,17,2,17,1,1
453,fit,junction,51,6,51,1,3
454,fit,terminal,15,2,15,1,1
455,fit,terminal,17,2,17,1,1
456,fit,junction,51,6,51,1,3
457,fit,terminal,7,2,7,1,1
458,selection,geometry_transition,3,1,3,1,2
459,selection,turn,11,2,11,1,2
460,selection,geometry_transition,2,2,2,1,2
461,selection,turn,13,2,13,1,2
462,selection,geometry_transition,3,2,3,1,2
463,selection,geometry_transition,8,2,8,1,2
464,selection,geometry_transition,2,2,2,1,2
465,selection,geometry_transition,2,2,2,1,2
466,selection,turn,2,2,2,1,2
467,selection,geometry_transition,10,2,10,1,2
468,selection,geometry_transition,2,2,2,1,2
469,selection,turn,4,2,4,1,2
470,selection,geometry_transition,5,2,5,1,2
471,selection,geometry_transition,8,2,8,1,2
472,selection,geometry_transition,2,2,2,1,2
473,selection,geometry_transition,3,2,3,1,2
474,selection,terminal,17,2,17,1,1
475,selection,terminal,17,2,17,1,1
476,selection,terminal,17,2,17,1,1
477,selection,junction,27,6,27,1,3
478,selection,junction,41,6,41,1,3
479,selection,terminal,10,2,10,1,1
480,selection,geometry_transition,2,1,2,1,2
481,selection,geometry_transition,6,2,6,1,2
482,selection,geometry_transition,5,2,5,1,2
483,selection,geometry_transition,7,2,7,1,2
484,selection,geometry_transition,4,2,4,1,2
485,selection,geometry_transition,1,1,1,1,2
486,selection,geometry_transition,1,1,1,1,2
487,selection,geometry_transition,4,2,4,1,2
488,selection,geometry_transition,19,2,19,1,2
489,selection,geometry_transition,5,2,5,1,2
490,selection,geometry_transition,5,2,5,1,2
491,selection,geometry_transition,2,2,2,1,2
492,selection,geometry_transition,3,1,3,1,2
493,selection,geometry_transition,9,2,9,1,2
494,selection,geometry_transition,3,1,3,1,2
495,selection,geometry_transition,2,1,2,1,2
496,selection,geometry_transition,11,2,11,1,2
497,selection,geometry_transition,4,2,4,1,2
498,selection,geometry_transition,5,2,5,1,2
499,selection,geometry_transition,2,2,2,1,2
500,selection,terminal,17,2,17,1,1
501,selection,junction,51,6,51,1,3
502,selection,junction,51,6,51,1,3
503,selection,junction,45,6,45,1,3
504,selection,terminal,17,2,17,1,1
505,selection,terminal,17,2,17,1,1
506,selection,terminal,17,2,17,1,1
507,selection,terminal,12,2,12,1,1
562,fit,turn,2,2,2,1,2
563,fit,geometry_transition,18,2,18,1,2
564,fit,geometry_transition,5,2,5,1,2
565,fit,geometry_transition,4,2,4,1,2
566,fit,geometry_transition,1,1,1,1,2
567,fit,geometry_transition,4,2,4,1,2
568,fit,geometry_transition,11,2,11,1,2
569,fit,geometry_transition,4,2,4,1,2
570,fit,geometry_transition,5,2,5,1,2
571,fit,geometry_transition,2,2,2,1,2
572,fit,geometry_transition,6,2,6,1,2
573,fit,geometry_transition,9,2,9,1,2
574,fit,geometry_transition,2,2,2,1,2
575,fit,geometry_transition,7,2,7,1,2
576,fit,terminal,8,2,8,1,1
577,fit,terminal,17,2,17,1,1
578,fit,junction,51,6,51,1,3
579,fit,terminal,7,2,7,1,1
580,fit,junction,51,6,51,1,3
581,fit,junction,51,6,51,1,3
582,fit,junction,51,6,51,1,3
583,fit,terminal,17,2,17,1,1
584,fit,geometry_transition,5,2,5,1,2
585,fit,geometry_transition,2,2,2,1,2
586,fit,geometry_transition,2,2,2,1,2
587,fit,geometry_transition,6,2,6,1,2
588,fit,geometry_transition,2,2,2,1,2
589,fit,geometry_transition,1,1,1,1,2
590,fit,geometry_transition,4,2,4,1,2
591,fit,geometry_transition,2,1,2,1,2
592,fit,geometry_transition,3,2,3,1,2
593,fit,geometry_transition,8,2,8,1,2
594,fit,geometry_transition,8,2,8,1,2
595,fit,geometry_transition,3,2,3,1,2
596,fit,geometry_transition,13,2,13,1,2
597,fit,geometry_transition,7,2,7,1,2
598,fit,geometry_transition,12,2,12,1,2
599,fit,geometry_transition,10,2,10,1,2
600,fit,geometry_transition,3,2,3,1,2
601,fit,geometry_transition,1,1,1,1,2
602,fit,geometry_transition,3,2,3,1,2
603,fit,geometry_transition,3,2,3,1,2
604,fit,geometry_transition,6,2,6,1,2
