event,probability_threshold,consensus_votes,stable_frames,release_frames,c07_precision,c07_recall,c07_f1,c07_predicted_commits
2,0.5,3,1,3,0.9302325581395349,0.6837606837606838,0.7881773399014778,86
2,0.5,3,1,5,0.9302325581395349,0.6837606837606838,0.7881773399014778,86
2,0.5,3,1,8,0.9302325581395349,0.6837606837606838,0.7881773399014778,86
2,0.5,3,2,2,0.0,0.0,0.0,0
2,0.5,3,2,3,0.0,0.0,0.0,0
2,0.5,3,2,5,0.0,0.0,0.0,0
2,0.5,3,2,8,0.0,0.0,0.0,0
2,0.5,3,3,2,0.0,0.0,0.0,0
2,0.5,3,3,3,0.0,0.0,0.0,0
2,0.5,3,3,5,0.0,0.0,0.0,0
2,0.5,3,3,8,0.0,0.0,0.0,0
2,0.6,2,1,2,0.9166666666666666,0.8461538461538461,0.8799999999999999,108
2,0.6,2,1,3,0.9166666666666666,0.8461538461538461,0.8799999999999999,108
2,0.6,2,1,5,0.9166666666666666,0.8461538461538461,0.8799999999999999,108
2,0.6,2,1,8,0.9166666666666666,0.8461538461538461,0.8799999999999999,108
2,0.6,2,2,2,1.0,0.02564102564102564,0.05,3
2,0.6,2,2,3,1.0,0.02564102564102564,0.05,3
2,0.6,2,2,5,1.0,0.02564102564102564,0.05,3
2,0.6,2,2,8,1.0,0.02564102564102564,0.05,3
2,0.6,2,3,2,0.0,0.0,0.0,0
2,0.6,2,3,3,0.0,0.0,0.0,0
2,0.6,2,3,5,0.0,0.0,0.0,0
2,0.6,2,3,8,0.0,0.0,0.0,0
2,0.6,3,1,2,0.9294117647058824,0.6752136752136753,0.7821782178217823,85
2,0.6,3,1,3,0.9294117647058824,0.6752136752136753,0.7821782178217823,85
2,0.6,3,1,5,0.9294117647058824,0.6752136752136753,0.7821782178217823,85
2,0.6,3,1,8,0.9294117647058824,0.6752136752136753,0.7821782178217823,85
2,0.6,3,2,2,0.0,0.0,0.0,0
2,0.6,3,2,3,0.0,0.0,0.0,0
2,0.6,3,2,5,0.0,0.0,0.0,0
2,0.6,3,2,8,0.0,0.0,0.0,0
2,0.6,3,3,2,0.0,0.0,0.0,0
2,0.6,3,3,3,0.0,0.0,0.0,0
2,0.6,3,3,5,0.0,0.0,0.0,0
2,0.6,3,3,8,0.0,0.0,0.0,0
2,0.7,2,1,2,0.9333333333333333,0.8376068376068376,0.882882882882883,105
2,0.7,2,1,3,0.9333333333333333,0.8376068376068376,0.882882882882883,105
2,0.7,2,1,5,0.9333333333333333,0.8376068376068376,0.882882882882883,105
2,0.7,2,1,8,0.9333333333333333,0.8376068376068376,0.882882882882883,105
2,0.7,2,2,2,1.0,0.008547008547008548,0.016949152542372885,1
2,0.7,2,2,3,1.0,0.008547008547008548,0.016949152542372885,1
2,0.7,2,2,5,1.0,0.008547008547008548,0.016949152542372885,1
2,0.7,2,2,8,1.0,0.008547008547008548,0.016949152542372885,1
2,0.7,2,3,2,0.0,0.0,0.0,0
2,0.7,2,3,3,0.0,0.0,0.0,0
2,0.7,2,3,5,0.0,0.0,0.0,0
2,0.7,2,3,8,0.0,0.0,0.0,0
2,0.7,3,1,2,0.927710843373494,0.6581196581196581,0.77,83
2,0.7,3,1,3,0.927710843373494,0.6581196581196581,0.77,83
2,0.7,3,1,5,0.927710843373494,0.6581196581196581,0.77,83
2,0.7,3,1,8,0.927710843373494,0.6581196581196581,0.77,83
2,0.7,3,2,2,0.0,0.0,0.0,0
2,0.7,3,2,3,0.0,0.0,0.0,0
2,0.7,3,2,5,0.0,0.0,0.0,0
2,0.7,3,2,8,0.0,0.0,0.0,0
2,0.7,3,3,2,0.0,0.0,0.0,0
2,0.7,3,3,3,0.0,0.0,0.0,0
2,0.7,3,3,5,0.0,0.0,0.0,0
2,0.7,3,3,8,0.0,0.0,0.0,0
2,0.8,2,1,2,0.9320388349514563,0.8205128205128205,0.8727272727272728,103
2,0.8,2,1,3,0.9320388349514563,0.8205128205128205,0.8727272727272728,103
2,0.8,2,1,5,0.9320388349514563,0.8205128205128205,0.8727272727272728,103
2,0.8,2,1,8,0.9320388349514563,0.8205128205128205,0.8727272727272728,103
2,0.8,2,2,2,1.0,0.008547008547008548,0.016949152542372885,1
2,0.8,2,2,3,1.0,0.008547008547008548,0.016949152542372885,1
2,0.8,2,2,5,1.0,0.008547008547008548,0.016949152542372885,1
2,0.8,2,2,8,1.0,0.008547008547008548,0.016949152542372885,1
2,0.8,2,3,2,0.0,0.0,0.0,0
2,0.8,2,3,3,0.0,0.0,0.0,0
