event,probability_threshold,consensus_votes,stable_frames,release_frames,c07_precision,c07_recall,c07_f1,c07_predicted_commits
1,0.98,3,2,2,1.0,0.01201923076923077,0.023752969121140142,5
1,0.98,3,2,3,1.0,0.01201923076923077,0.023752969121140142,5
1,0.98,3,2,5,1.0,0.01201923076923077,0.023752969121140142,5
1,0.98,3,2,8,1.0,0.01201923076923077,0.023752969121140142,5
1,0.98,3,3,2,0.0,0.0,0.0,0
1,0.98,3,3,3,0.0,0.0,0.0,0
1,0.98,3,3,5,0.0,0.0,0.0,0
1,0.98,3,3,8,0.0,0.0,0.0,0
1,0.99,2,1,2,0.9543726235741445,0.6033653846153846,0.7393225331369662,263
1,0.99,2,1,3,0.9543726235741445,0.6033653846153846,0.7393225331369662,263
1,0.99,2,1,5,0.9543726235741445,0.6033653846153846,0.7393225331369662,263
1,0.99,2,1,8,0.9543726235741445,0.6033653846153846,0.7393225331369662,263
1,0.99,2,2,2,0.9912280701754386,0.27163461538461536,0.42641509433962255,114
1,0.99,2,2,3,0.9912280701754386,0.27163461538461536,0.42641509433962255,114
1,0.99,2,2,5,0.9912280701754386,0.27163461538461536,0.42641509433962255,114
1,0.99,2,2,8,0.9912280701754386,0.27163461538461536,0.42641509433962255,114
1,0.99,2,3,2,1.0,0.057692307692307696,0.1090909090909091,24
1,0.99,2,3,3,1.0,0.057692307692307696,0.1090909090909091,24
1,0.99,2,3,5,1.0,0.057692307692307696,0.1090909090909091,24
1,0.99,2,3,8,1.0,0.057692307692307696,0.1090909090909091,24
1,0.99,3,1,2,0.9666666666666667,0.06971153846153846,0.13004484304932734,30
1,0.99,3,1,3,0.9666666666666667,0.06971153846153846,0.13004484304932734,30
1,0.99,3,1,5,0.9666666666666667,0.06971153846153846,0.13004484304932734,30
1,0.99,3,1,8,0.9666666666666667,0.06971153846153846,0.13004484304932734,30
1,0.99,3,2,2,1.0,0.002403846153846154,0.004796163069544364,1
1,0.99,3,2,3,1.0,0.002403846153846154,0.004796163069544364,1
1,0.99,3,2,5,1.0,0.002403846153846154,0.004796163069544364,1
1,0.99,3,2,8,1.0,0.002403846153846154,0.004796163069544364,1
1,0.99,3,3,2,0.0,0.0,0.0,0
1,0.99,3,3,3,0.0,0.0,0.0,0
1,0.99,3,3,5,0.0,0.0,0.0,0
1,0.99,3,3,8,0.0,0.0,0.0,0
1,0.995,2,1,2,0.9565217391304348,0.47596153846153844,0.6356340288924558,207
1,0.995,2,1,3,0.9565217391304348,0.47596153846153844,0.6356340288924558,207
1,0.995,2,1,5,0.9565217391304348,0.47596153846153844,0.6356340288924558,207
1,0.995,2,1,8,0.9565217391304348,0.47596153846153844,0.6356340288924558,207
1,0.995,2,2,2,0.9855072463768116,0.16346153846153846,0.2804123711340206,69
1,0.995,2,2,3,0.9855072463768116,0.16346153846153846,0.2804123711340206,69
1,0.995,2,2,5,0.9855072463768116,0.16346153846153846,0.2804123711340206,69
1,0.995,2,2,8,0.9855072463768116,0.16346153846153846,0.2804123711340206,69
1,0.995,2,3,2,1.0,0.016826923076923076,0.03309692671394799,7
1,0.995,2,3,3,1.0,0.016826923076923076,0.03309692671394799,7
1,0.995,2,3,5,1.0,0.016826923076923076,0.03309692671394799,7
1,0.995,2,3,8,1.0,0.016826923076923076,0.03309692671394799,7
1,0.995,3,1,2,0.9285714285714286,0.03125,0.06046511627906977,14
1,0.995,3,1,3,0.9285714285714286,0.03125,0.06046511627906977,14
1,0.995,3,1,5,0.9285714285714286,0.03125,0.06046511627906977,14
