source,mode,event,probe_iterations,transfer_prevalence,transfer_ap_over_prevalence,fit_roc_auc,fit_average_precision,fit_threshold,fit_precision,fit_recall,transfer_roc_auc,transfer_average_precision,transfer_precision,transfer_recall,transfer_false_positive_rate,transfer_identity_covered,transfer_identity_total
seed2,independent_head,geometry_transition,0,0.007091907846191687,2.1681349958439617,0.7577776125656341,0.01426658171180056,,,0.0,0.7712788286474762,0.015376213588628573,0.0,0.0,0.0,0,12
seed2,explicit_probe,geometry_transition,36,0.007091907846191687,1.997331167572911,0.9999708176680955,0.9893609345820951,0.9888027918308502,0.9803921568627451,0.746268656716418,0.683654345712995,0.01416488857875353,0.02564102564102564,0.005780346820809248,0.0015688865034474216,1,12
ensemble,train_free,junction,0,0.1506927933098303,6.066522650049332,0.9824789381071921,0.940710696069954,2.9626871744791665,0.9801934592353754,0.667293822514895,0.9705350496080797,0.9141812438132878,0.968408262454435,0.6504352557127312,0.003764842166232262,72,77
ensemble,independent_head,junction,0,0.1506927933098303,6.246641109977455,0.9841641354886875,0.9530207050860668,0.9475206335385641,0.980188679245283,0.6516149263091878,0.9716613851102336,0.9413237976665215,0.9798826487845766,0.6360174102285092,0.0023168259484506225,70,77
ensemble,explicit_probe,junction,79,0.1506927933098303,6.1473672738022,0.9968724364014044,0.9830355121200175,0.9460573408006058,0.9800590841949779,0.8322358105989338,0.9656199221611188,0.9263639459906898,0.9449948752989409,0.7524483133841132,0.007771020368761463,73,77
ensemble,train_free,terminal,0,0.04402721980814955,22.518261352792198,0.9866645679969004,0.980364446387192,-0.5607838730017344,0.9804372842347526,0.9466666666666667,0.996908648517429,0.9914164422767411,0.9660377358490566,0.9534450651769087,0.0015437392795883361,68,69
ensemble,independent_head,terminal,0,0.04402721980814955,22.591098145008193,0.999639297860433,0.9926209253388352,0.8207836548487345,0.9801633605600933,0.9333333333333333,0.9997450658157415,0.9946232437377552,0.9683301343570058,0.9394785847299814,0.0014150943396226414,68,69
ensemble,explicit_probe,terminal,16,0.04402721980814955,22.510411108297333,1.0,1.0,0.9389243426196097,1.0,1.0,0.999130987858984,0.9910708178368179,0.9762845849802372,0.9199255121042831,0.0010291595197255575,69,69
ensemble,train_free,turn,0,0.009715503812412889,0.8768144630356177,0.4341657157985329,0.01143405686502304,,,0.0,0.3549303614942267,0.008518694258401304,0.0,0.0,0.0,0,52
ensemble,independent_head,turn,0,0.009715503812412889,9.195970221139417,0.929954427422346,0.2515904582157735,,,0.0,0.8711942219052614,0.0893434837423154,0.0,0.0,0.0,0,52
ensemble,explicit_probe,turn,40,0.009715503812412889,15.563352303907918,0.9997460419534648,0.9678307327321183,0.9913733318670997,0.9824561403508771,0.2007168458781362,0.7685481874984826,0.1512058086425423,0.45,0.0379746835443038,0.00045535455561534956,4,52
ensemble,train_free,geometry_transition,0,0.007091907846191687,1.3803474440514385,0.7083538593981352,0.005690297754725754,,,0.0,0.674779660224145,0.009789296868939036,0.0,0.0,0.0,0,12
ensemble,independent_head,geometry_transition,0,0.007091907846191687,2.6314860764834873,0.7507203519667155,0.009409473666238117,,,0.0,0.8153250666490384,0.01866225675295742,0.0,0.0,0.0,0,12
ensemble,explicit_probe,geometry_transition,36,0.007091907846191687,2.5108287066245287,1.0,1.0,0.9583967036129374,1.0,1.0,0.7375382228148172,0.01780656580495382,0.0,0.0,0.0,0,12
