environment,false_merge_rate_delta_median,false_merge_rate_delta_p90,false_split_rate_delta_median,false_split_rate_delta_p90,feature_drift_median_median,feature_drift_median_p90,graph_edge_change_rate_median,graph_edge_change_rate_p90,method,node_count_delta_median,node_count_delta_p90,node_id_retention_median,node_id_retention_p90,node_match_consistency_median,node_match_consistency_p90,perturbation
campus,0.0,0.0,0.5,0.5,0.10235956311225891,0.10562401413917541,0.14285714285714285,0.19365079365079363,new_multienv_64,9.0,12.2,0.53125,0.54375,0.53125,0.54375,sector_occlusion
campus,0.0,0.0,0.5,0.5,0.008144646883010864,0.0083437979221344,0.07936507936507936,0.10476190476190475,new_multienv_64,-5.0,-3.4,0.546875,0.609375,0.546875,0.609375,random_drop
campus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,new_multienv_64,0.0,0.0,1.0,1.0,1.0,1.0,density_drop
campus,0.0,0.0,0.0,0.24000000000000005,0.005043208599090576,0.0054163336753845215,0.0,0.012698412698412698,new_multienv_64,1.0,1.0,0.71875,0.74375,0.71875,0.74375,translation
campus,0.0,0.0,0.0,0.2,0.003652036190032959,0.003973686695098877,0.047619047619047616,0.047619047619047616,new_multienv_64,-1.0,-1.0,0.796875,0.834375,0.796875,0.834375,rotation
campus,0.0,0.0,0.0,0.0,0.12847211956977844,0.14323912262916566,0.2,0.21454545454545454,new_multienv_128,11.0,11.8,0.5178571428571429,0.5464285714285715,0.5178571428571429,0.5464285714285715,sector_occlusion
campus,0.0,0.0,0.0,0.0,0.008284419775009155,0.008298224210739136,0.01818181818181818,0.03272727272727273,new_multienv_128,0.0,0.8,0.7321428571428571,0.7607142857142858,0.7321428571428571,0.7607142857142858,random_drop
campus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,new_multienv_128,0.0,0.0,1.0,1.0,1.0,1.0,density_drop
campus,0.0,0.0,0.0,0.0,0.005049914121627808,0.0051619231700897215,0.01818181818181818,0.01818181818181818,new_multienv_128,-1.0,-0.19999999999999996,0.7678571428571429,0.925,0.7678571428571429,0.925,translation
campus,0.0,0.0,0.0,0.0,0.004624158143997192,0.004635053873062134,0.0,0.0,new_multienv_128,0.0,0.0,0.9285714285714286,0.9428571428571428,0.9285714285714286,0.9428571428571428,rotation
