threshold,region,selection,tp,fp,fn,ignored,output_count,precision,recall,f1
7.55274132776038e-17,fixed,after,12,155,0,245,412,0.0718562874251497,1.0,0.1340782122905028
7.794126527137644e-17,old,before,12,152,0,321,485,0.07317073170731707,1.0,0.13636363636363635
7.794126527137644e-17,old,after,12,140,0,259,411,0.07894736842105263,1.0,0.14634146341463414
7.794126527137644e-17,fixed,before,12,168,0,305,485,0.06666666666666667,1.0,0.125
7.794126527137644e-17,fixed,after,12,155,0,244,411,0.0718562874251497,1.0,0.1340782122905028
8.291995288176981e-17,old,before,12,152,0,320,484,0.07317073170731707,1.0,0.13636363636363635
8.291995288176981e-17,old,after,12,140,0,258,410,0.07894736842105263,1.0,0.14634146341463414
8.291995288176981e-17,fixed,before,12,168,0,304,484,0.06666666666666667,1.0,0.125
8.291995288176981e-17,fixed,after,12,155,0,243,410,0.0718562874251497,1.0,0.1340782122905028
8.911432467737521e-17,old,before,12,152,0,319,483,0.07317073170731707,1.0,0.13636363636363635
8.911432467737521e-17,old,after,12,140,0,257,409,0.07894736842105263,1.0,0.14634146341463414
8.911432467737521e-17,fixed,before,12,168,0,303,483,0.06666666666666667,1.0,0.125
8.911432467737521e-17,fixed,after,12,155,0,242,409,0.0718562874251497,1.0,0.1340782122905028
9.315084033518088e-17,old,before,12,152,0,318,482,0.07317073170731707,1.0,0.13636363636363635
9.315084033518088e-17,old,after,12,140,0,256,408,0.07894736842105263,1.0,0.14634146341463414
9.315084033518088e-17,fixed,before,12,168,0,302,482,0.06666666666666667,1.0,0.125
9.315084033518088e-17,fixed,after,12,155,0,241,408,0.0718562874251497,1.0,0.1340782122905028
1.0852117960539622e-16,old,before,12,152,0,317,481,0.07317073170731707,1.0,0.13636363636363635
1.0852117960539622e-16,old,after,12,140,0,255,407,0.07894736842105263,1.0,0.14634146341463414
1.0852117960539622e-16,fixed,before,12,168,0,301,481,0.06666666666666667,1.0,0.125
1.0852117960539622e-16,fixed,after,12,155,0,240,407,0.0718562874251497,1.0,0.1340782122905028
1.121913270437348e-16,old,before,12,152,0,316,480,0.07317073170731707,1.0,0.13636363636363635
1.121913270437348e-16,old,after,12,140,0,254,406,0.07894736842105263,1.0,0.14634146341463414
1.121913270437348e-16,fixed,before,12,168,0,300,480,0.06666666666666667,1.0,0.125
1.121913270437348e-16,fixed,after,12,155,0,239,406,0.0718562874251497,1.0,0.1340782122905028
1.2708965720409268e-16,old,before,12,152,0,315,479,0.07317073170731707,1.0,0.13636363636363635
1.2708965720409268e-16,old,after,12,140,0,253,405,0.07894736842105263,1.0,0.14634146341463414
1.2708965720409268e-16,fixed,before,12,168,0,299,479,0.06666666666666667,1.0,0.125
1.2708965720409268e-16,fixed,after,12,155,0,238,405,0.0718562874251497,1.0,0.1340782122905028
1.2820571575632882e-16,old,before,12,152,0,314,478,0.07317073170731707,1.0,0.13636363636363635
1.2820571575632882e-16,old,after,12,140,0,252,404,0.07894736842105263,1.0,0.14634146341463414
1.2820571575632882e-16,fixed,before,12,168,0,298,478,0.06666666666666667,1.0,0.125
1.2820571575632882e-16,fixed,after,12,155,0,237,404,0.0718562874251497,1.0,0.1340782122905028
1.4922133109664706e-16,old,before,12,152,0,313,477,0.07317073170731707,1.0,0.13636363636363635
1.4922133109664706e-16,old,after,12,140,0,251,403,0.07894736842105263,1.0,0.14634146341463414
1.4922133109664706e-16,fixed,before,12,168,0,297,477,0.06666666666666667,1.0,0.125
