threshold,region,selection,tp,fp,fn,ignored,output_count,precision,recall,f1
2.359018945355222e-15,fixed,after,12,152,0,222,386,0.07317073170731707,1.0,0.13636363636363635
2.3670505117610874e-15,old,before,12,148,0,292,452,0.075,1.0,0.13953488372093023
2.3670505117610874e-15,old,after,12,137,0,236,385,0.08053691275167785,1.0,0.14906832298136646
2.3670505117610874e-15,fixed,before,12,164,0,276,452,0.06818181818181818,1.0,0.1276595744680851
2.3670505117610874e-15,fixed,after,12,152,0,221,385,0.07317073170731707,1.0,0.13636363636363635
2.404803193736685e-15,old,before,12,148,0,291,451,0.075,1.0,0.13953488372093023
2.404803193736685e-15,old,after,12,137,0,235,384,0.08053691275167785,1.0,0.14906832298136646
2.404803193736685e-15,fixed,before,12,164,0,275,451,0.06818181818181818,1.0,0.1276595744680851
2.404803193736685e-15,fixed,after,12,152,0,220,384,0.07317073170731707,1.0,0.13636363636363635
2.624798190687598e-15,old,before,12,148,0,290,450,0.075,1.0,0.13953488372093023
2.624798190687598e-15,old,after,12,137,0,234,383,0.08053691275167785,1.0,0.14906832298136646
2.624798190687598e-15,fixed,before,12,164,0,274,450,0.06818181818181818,1.0,0.1276595744680851
2.624798190687598e-15,fixed,after,12,152,0,219,383,0.07317073170731707,1.0,0.13636363636363635
2.6298194019989214e-15,old,before,12,148,0,289,449,0.075,1.0,0.13953488372093023
2.6298194019989214e-15,old,after,12,137,0,233,382,0.08053691275167785,1.0,0.14906832298136646
2.6298194019989214e-15,fixed,before,12,164,0,273,449,0.06818181818181818,1.0,0.1276595744680851
2.6298194019989214e-15,fixed,after,12,152,0,218,382,0.07317073170731707,1.0,0.13636363636363635
2.718852093876005e-15,old,before,12,148,0,288,448,0.075,1.0,0.13953488372093023
2.718852093876005e-15,old,after,12,137,0,233,382,0.08053691275167785,1.0,0.14906832298136646
2.718852093876005e-15,fixed,before,12,164,0,272,448,0.06818181818181818,1.0,0.1276595744680851
2.718852093876005e-15,fixed,after,12,152,0,218,382,0.07317073170731707,1.0,0.13636363636363635
2.7796991291584913e-15,old,before,12,148,0,287,447,0.075,1.0,0.13953488372093023
2.7796991291584913e-15,old,after,12,137,0,232,381,0.08053691275167785,1.0,0.14906832298136646
2.7796991291584913e-15,fixed,before,12,164,0,271,447,0.06818181818181818,1.0,0.1276595744680851
2.7796991291584913e-15,fixed,after,12,152,0,217,381,0.07317073170731707,1.0,0.13636363636363635
2.8923157593859763e-15,old,before,12,148,0,286,446,0.075,1.0,0.13953488372093023
2.8923157593859763e-15,old,after,12,137,0,231,380,0.08053691275167785,1.0,0.14906832298136646
2.8923157593859763e-15,fixed,before,12,164,0,270,446,0.06818181818181818,1.0,0.1276595744680851
2.8923157593859763e-15,fixed,after,12,152,0,216,380,0.07317073170731707,1.0,0.13636363636363635
2.927235751427719e-15,old,before,12,148,0,285,445,0.075,1.0,0.13953488372093023
2.927235751427719e-15,old,after,12,137,0,230,379,0.08053691275167785,1.0,0.14906832298136646
2.927235751427719e-15,fixed,before,12,164,0,269,445,0.06818181818181818,1.0,0.1276595744680851
2.927235751427719e-15,fixed,after,12,152,0,215,379,0.07317073170731707,1.0,0.13636363636363635
3.2048374591213966e-15,old,before,12,147,0,285,444,0.07547169811320754,1.0,0.14035087719298245
3.2048374591213966e-15,old,after,12,137,0,230,379,0.08053691275167785,1.0,0.14906832298136646
3.2048374591213966e-15,fixed,before,12,163,0,269,444,0.06857142857142857,1.0,0.12834224598930483
3.2048374591213966e-15,fixed,after,12,152,0,215,379,0.07317073170731707,1.0,0.13636363636363635
4.40112898382472e-15,old,before,12,147,0,284,443,0.07547169811320754,1.0,0.14035087719298245
4.40112898382472e-15,old,after,12,137,0,229,378,0.08053691275167785,1.0,0.14906832298136646
4.40112898382472e-15,fixed,before,12,163,0,268,443,0.06857142857142857,1.0,0.12834224598930483
4.40112898382472e-15,fixed,after,12,152,0,214,378,0.07317073170731707,1.0,0.13636363636363635
4.469004274987049e-15,old,before,12,147,0,283,442,0.07547169811320754,1.0,0.14035087719298245
4.469004274987049e-15,old,after,12,137,0,229,378,0.08053691275167785,1.0,0.14906832298136646
4.469004274987049e-15,fixed,before,12,163,0,267,442,0.06857142857142857,1.0,0.12834224598930483
4.469004274987049e-15,fixed,after,12,152,0,214,378,0.07317073170731707,1.0,0.13636363636363635
4.500534229415643e-15,old,before,12,147,0,282,441,0.07547169811320754,1.0,0.14035087719298245
