section,identity,residual_scale,worst_parent_relative_improvement,mean_parent_relative_improvement,raw_relative_improvement,risk_calibrated_relative_improvement
selection_curve,C07-C08,0.95,0.25414899755664594,0.5827237791660053,,
selection_curve,C07-C08,0.96,0.25372737825520136,0.5849738420046545,,
selection_curve,C07-C08,0.97,0.2532131852790888,0.5869663921455959,,
selection_curve,C07-C08,0.98,0.25261151321064973,0.5886763749003068,,
selection_curve,C07-C08,0.99,0.25190247613368094,0.590099371603524,,
selection_curve,C07-C08,1.0,0.2510943503771165,0.591226578639423,,
c09_world,S01_flat_tree_small_C09,0.89,,,0.8040092004481902,0.7392381691642301
c09_world,S02_3d_tree_small_C09,0.89,,,-0.1338102753284245,-0.043193928496285235
c09_world,S03_flat_unicyclic_small_C09,0.89,,,0.8213530760417249,0.763262619128489
c09_world,S04_3d_unicyclic_small_C09,0.89,,,0.24433781339733995,0.25654516664394
c09_world,S05_flat_branch_medium_C09,0.89,,,0.8015377951183282,0.747160044307239
c09_world,S06_3d_branch_medium_C09,0.89,,,0.24981426901246273,0.27222453151269105
c09_world,S07_flat_loop_rich_C09,0.89,,,0.8315903732948011,0.7750343884841728
c09_world,S08_3d_loop_rich_C09,0.89,,,0.4641147027683649,0.45328053046253075
c09_world,S09_flat_complex_C09,0.89,,,0.7390703366784381,0.687089734635602
c09_world,S10_3d_complex_C09,0.89,,,0.40012155613316924,0.39827166799138614
